date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:07	11017/11017	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Apr%202017%2014:37:35%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/title_frame.png	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/title_frame.png	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:04:07	337/337	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Apr%202017%2014:37:28%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/arrow-down.png	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/arrow-down.png	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:04:17	52093/52093	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Apr%202017%2014:37:28%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/about_pic_frame.png	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/about_pic_frame.png	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:04:29	69889/69889	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202017%2014:37:27%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/about_f.jpg	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/about_f.jpg	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:04:30	675/675	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Apr%202017%2014:38:06%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/social/twitter.png	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/social/twitter.png	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:04:31	793/793	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Apr%202017%2014:38:06%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/social/youtube.png	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/social/youtube.png	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:04:32	788/788	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Apr%202017%2014:38:05%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/social/pinterest.png	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/social/pinterest.png	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:04:47	84331/84331	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202017%2014:37:27%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/about_m.jpg	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/about_m.jpg	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:04:48	325/325	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Apr%202017%2014:38:05%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/social/facebook.png	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/social/facebook.png	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:04:48	810/810	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Apr%202017%2014:38:05%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/social/google_plus.png	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/social/google_plus.png	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
